Repositório,Total,Adição,Adição %,Remoção,Remoção %,Manutenção,Adaptação. %,Negligenciado,Neglig. %
elasticsearch,7737,3295,"42,59",398,"5,14",733,"9,47",3311,"42,79"
jabref,882,186,"21,09",34,"3,85",29,"3,29",633,"71,77"
junit,261,167,"63,98",11,"4,21",22,"8,43",61,"23,37"
keycloak,2230,998,"44,75",87,"3,90",154,"6,91",991,"44,44"
pulsar,1099,469,"42,68",34,"3,09",95,"8,64",501,"45,59"
spring-boot,2979,1493,"50,12",94,"3,16",162,"5,44",1230,"41,29"
Total,15188,6608,"43,51",658,"4,33",1195,"7,87",6727,"44,29"
