Repositório,Total,Adição,Adição %,Remoção,Remoção %,Manutenção,Adaptação. %,Negligenciado,Neglig. %
elasticsearch,5459,2588,"47,41",296,"5,42",260,"4,76",2315,"42,41"
jabref,699,195,"27,90",13,"1,86",17,"2,43",474,"67,81"
junit-framework,566,314,"55,48",18,"3,18",46,"8,13",188,"33,22"
keycloak,2545,1115,"43,81",146,"5,74",167,"6,56",1117,"43,89"
pulsar,613,325,"53,02",10,"1,63",21,"3,43",257,"41,92"
spring-boot,4447,1766,"39,71",315,"7,08",306,"6,88",2060,"46,32"
Total,14329,6303,"43,99",798,"5,57",817,"5,70",6411,"44,74"
