Repositório,Complexidade_r_MW,Complexidade_p,Interfacing_r_MW,Interfacing_p,Size_r_MW,Size_p,Assert_Churn_Lines_r_Sp,Assert_Churn_Lines_p,Assert_Growth_Lines_r_Sp,Assert_Growth_Lines_p,Experiencia_V_Cramer,Experiencia_p
elasticsearch,-0.0894,0.0000,-0.0733,0.0000,0.0243,0.0970,0.6021,0.0000,0.5285,0.0000,0.0578,0.0000
jabref,-0.0723,0.1014,-0.0876,0.0474,-0.1335,0.0041,0.5324,0.0000,0.2582,0.0000,0.0785,0.2460
junit-framework,-0.0282,0.6863,0.0797,0.5296,0.0954,0.5296,0.5679,0.0000,0.5007,0.0000,0.0965,0.6863
keycloak,-0.1342,0.0000,-0.0779,0.0035,0.0565,0.0450,0.5654,0.0000,0.4715,0.0000,0.0583,0.1081
pulsar,-0.1292,0.0007,-0.0509,0.1667,0.0285,0.4378,0.5368,0.0000,0.5335,0.0000,0.0857,0.1336
spring-boot,-0.1015,0.0000,-0.0741,0.0003,-0.0912,0.0001,0.5648,0.0000,0.4722,0.0000,0.0371,0.3934
