Repositório,Complexidade_r_MW,Complexidade_p,Interfacing_r_MW,Interfacing_p,Size_r_MW,Size_p,Assert_Churn_Lines_r_Sp,Assert_Churn_Lines_p,Assert_Growth_Lines_r_Sp,Assert_Growth_Lines_p,Experiencia_V_Cramer,Experiencia_p
elasticsearch,-0.0078,0.6450,0.1061,0.0000,-0.0367,0.0403,0.7161,0.0000,0.5145,0.0000,0.1134,0.0000
jabref,0.0646,0.2244,0.0384,0.4115,-0.1063,0.0485,0.5041,0.0000,0.3776,0.0000,0.0753,0.4115
junit,-0.0902,0.1305,-0.1073,0.1305,-0.0341,0.6315,0.7110,0.0000,0.5936,0.0000,0.1901,0.0008
keycloak,-0.0798,0.0018,-0.0402,0.1159,0.0368,0.1394,0.5772,0.0000,0.3439,0.0000,0.0826,0.0025
pulsar,-0.0573,0.3646,0.1041,0.0540,-0.0130,0.9114,0.6871,0.0000,0.5945,0.0000,0.0402,0.9114
spring-boot,-0.0703,0.0001,-0.0347,0.0568,-0.0496,0.0121,0.6235,0.0000,0.3509,0.0000,0.0654,0.0012
