Commit Hash,Count in pyszz,Count in pd
5a956182474824ad113b126bfe9a4a2fac71fa44,0,0
9aaea7611ffe471d1b3ba16b13673ec0a0cfd846,0,0
2dcab10b9cb9796fff94a0ce9a52afc6cc2c7da4,0,0
ace1ba1118fcd26973f3e3e4907f0112c9cf6b0d,1,5
67e1dcfa91617914eec2e50c4ebf967fdd712920,1,2
475b2989ffa8ec61c3327c62ed8f694149f83220,0,0
851fa4bb4f372e3d63ea69fc3077ebe1274eb135,0,1
7c238ebd6f960e512725dfff0f4c57e9365901c2,0,0
147cf233145e67057b841f316cb2cd526d5e6543,0,0
830f59c86131b7385eb73b0c2c44067af7bb493f,2,2
ba68c09765d1cf7a7b90fec4c78924243210b1dc,1,2
76be2a78f47178cefb995ee6a19aaba10c53a8f8,0,0
89f855d76713b4cd25ac0830c719cd61c511851e,0,1
bcdb01cd6c655a18038a704117b52c0c5d183a36,0,0
1797af8e3bcc6105563b337223e5257abc97ca35,0,0
c87ec4ac1f2cb168e47a30e1bcb99a526475ce8b,0,0
428ae436af374e9b5b168eafff3230603ce71fa1,6,0
ed7ea5060ae9c854f840ae335117cab176c615fb,0,3
a01b938d3cf699ec8f27b70ec2a4f876d3b11ec6,0,0
618f6d29c4f3d79b0e73931b9e499666c75f458e,2,2
2f5bffa3eae6f0f721e7e4e8e928035cd4b2484d,0,0
ba68c09765d1cf7a7b90fec4c78924243210b1dc,1,2
42666964dde83608365e9399cf47c35995b25639,1,3
b385fee1bd1e38134f3ddf6e3083f44451df96ea,4,6
,0,0
9a5b7d1c31c4bbbdf945acdbb9a633efd14073d4,0,2
e2b07273484056f508f958a931343397b4c8a43f,0,0
a80435f151bc4bec0c75a5aa4a6fae76eda2fe1e,0,1
ffdb88d83d72cf102ef3d4d832800ec326cd88db,1,1
144a37d10e955d8a27ba8e04ef000d86947cd5f0,1,1
021f094e64a6393a7490ee680d73ef26b3128625,0,0
bec55f8c42430221838fbd18a91fe652e2408dda,0,0
89ee88513c0012a776afa5d7dc5af14e01e36852,3,6
2238fbfdbda5535be5bdcd5d7326b84fdb33504b,0,0
f5a2f3b130f3b094c388dd7975e132fd87b15647,0,2
d01f3709766207ba24a8e0790d220157a7e440b6,0,1
d9644d0184044b3f3cdc40fd9323410e72b28aec,2,2
c1c79a054d1a8c4964288aa6c34b9ed81bd3b0d6,0,0
0a26d3100602d023557880bb00755f7c9f2dea73,0,0
a4b6099bb254793d9da25bf0472769b72987d182,1,1
adf226fe888c0c234e0663de522aab01d59184d4,1,0
7672b2de95aea95b92d47cde3215ffb9f96aadcb,1,1
8a9aca1ac5a2c0c072f80264e3226742d357c19d,1,2
e656635d8262bac56540ee80eab365fc9ee469f4,0,0
d2ddf938092bfd226f73cb63a61494a1d2dccec6,22,22
,0,0
7f4c36c03629498db8e56281906241a82846e1e3,1,2
82adb112722b1bf5b5301360651beb051b01f94d,0,2
c9415ff4ae25c86142e7a281b1585be3f9ea1196,0,0
d281ece4b5a96d6101cbea5f3475d0d8e19f75c8,0,0
,0,0
89ee88513c0012a776afa5d7dc5af14e01e36852,3,6
4f213f71e2644847adc03b0d3df94a1a9987e197,0,0
31e6797d8a1d0827180b0b54ea4a8b5fef936a59,0,0
91d19f9fa66d2f6cf275d38c66fe27c48549ae02,0,0
ba24c126c523b663a444cb8aa17421ab829eeef3,0,3
b411cfbb1c60af09052e17d1780f1cdb770bc4ef,1,3
fd1cab0eb1ed51261049b7799584b060dbe46755,0,2
67f67a15419466ab566e4822af2561cafb61b9aa,0,0
c7703106dc717f5ac8b7f326670429362f5bcde3,0,0
5b0b66423f48ae1395407f972dfb9d44d39abefb,1,2
fbc176604d7407604e74c322446886a4c398a9cb,0,0
1bec5efd35491af6bc413eccf7593ba0ed4679f3,2,3
f2c08e40d2549542938440e64fe2362588c99e8c,0,0
0a09e2c32b8402bcc8a61484220cdb49858310a9,0,0
,0,0
05a02110aadc81b70ed172c8c93141c4a87df8b8,1,1
f568e4dbde5de6c5d3ed39af73d02d2b910a1930,0,0
67583d9be2926223d069ccf39fdb41111ae67c2d,1,5
9398c3e1c5a5d92ca8f54e9f2a0213b85958d382,0,0
0bd8240dd0a814c6799f1a95bea1ebfa67799414,0,0
8a9aca1ac5a2c0c072f80264e3226742d357c19d,1,2
e38c3262b82928b05680103cfd030baf05c4a201,1,3
2a3c71f6d058bb67900b9e430772956613995a22,0,0
57110ef7bdd582184bca297dcb1315dffe00f52c,2,2
d938a3e7e8d7437a56ead235b254ab60ff537834,1,2
