Repositório,Total,Ambos,Ambos %,Apenas FIX,Apenas FIX %,Apenas BIC,Apenas BIC %,Nenhum,Nenhum %
elasticsearch,7832,3653,"46,64",841,"10,74",2323,"29,66",1015,"12,96"
jabref,902,117,"12,97",145,"16,08",147,"16,30",493,"54,66"
keycloak,2243,999,"44,54",248,"11,06",552,"24,61",444,"19,79"
junit-framework,262,134,"51,15",67,"25,57",45,"17,18",16,"6,11"
spring-boot,2985,1218,"40,80",537,"17,99",716,"23,99",514,"17,22"
pulsar,1116,462,"41,40",150,"13,44",320,"28,67",184,"16,49"
Total,15340,6583,"42,91",1988,"12,96",4103,"26,75",2666,"17,38"
